time_ps,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
24572000000,15135,14633,14254,13621,12915,12404,11584,10700,10078,9101,8075,7365,6269,5138,4369,3196
24574000000,2005,1204,0,-1205,-2006,-3197,-4370,-5139,-6270,-7366,-8076,-9102,-10079,-10701,-11585,-12405
24575000000,-12916,-13622,-14255,-14634,-15136,-15556,-15790,-16068,-16260,-16339,-16383,-16339,-16260,-16068,-15790,-15426
24577000000,-15136,-14634,-14052,-13622,-12916,-12139,-11585,-10701,-9759,-9102,-8076,-7005,-6270,-5139,-3981,-3197
24579000000,-2006,-804,0,1204,2403,3196,4369,5519,6269,7365,8422,9101,10078,11001,11584,12404
24580000000,13158,13621,14254,14809,15135,15555,15891,16067,16259,16363,16382,16338,16205,16067,15789,15425
24582000000,15135,14633,14051,13621,12915,12138,11584,10700,9758,9101,8075,7004,6269,5138,3980,3196
24584000000,2005,803,0,-1205,-2404,-3197,-4370,-5520,-6270,-7366,-8423,-9434,-10079,-11002,-11865,-12405
24585000000,-13159,-13841,-14255,-14810,-15285,-15556,-15892,-16142,-16260,-16364,-16378,-16339,-16206,-15985,-15790,-15426
24587000000,-14978,-14634,-14052,-13395,-12916,-12139,-11297,-10701,-9759,-8765,-8076,-7005,-5897,-5139,-3981,-2801
24589000000,-2006,-804,401,1204,2403,3589,4369,5519,6639,7365,8422,9433,10078,11001,11864,12404
24590000000,13158,13840,14254,14809,15284,15555,15891,16141,16259,16363,16377,16338,16205,15984,15789,15425
24592000000,14977,14633,14051,13394,12915,12138,11296,10700,9758,8764,7722,7004,5896,4755,3980,2800
24594000000,1605,803,-402,-1606,-2404,-3590,-4756,-5520,-6640,-7723,-8423,-9434,-10393,-11002,-11865,-12664
24595000000,-13159,-13841,-14449,-14810,-15285,-15678,-15892,-16142,-16304,-16364,-16378,-16304,-16206,-15985,-15678,-15426
24597000000,-14978,-14449,-14052,-13395,-12664,-12139,-11297,-10393,-9759,-8765,-7723,-7005,-5897,-4756,-3981,-2801
24599000000,-1606,-804,401,1605,2403,3589,4755,5519,6639,7722,8422,9433,10392,11001,11864,12663
24600000000,13158,13840,14448,14809,15284,15677,15891,16141,16303,16377,16377,16303,16141,15984,15677,15284
24602000000,14976,14446,13838,13391,12659,11859,11288,10383,9423,8752,7709,6626,5882,4742,3577,2790
24604000000,1598,399,-401,-1598,-2785,-3567,-4724,-5853,-6585,-7655,-8682,-9337,-10279,-11164,-11716,-12495
24605000000,-13203,-13631,-14217,-14723,-15010,-15380,-15666,-15803,-15944,-15999,-15981,-15890,-15713,-15541,-15223,-14823
24607000000,-14506,-13975,-13369,-12920,-12198,-11412,-10849,-9967,-9033,-8380,-7372,-6327,-5610,-4518,-3404,-2652
24609000000,-1518,-380,377,1508,2626,3726,4443,5498,6520,7174,8126,9029,9596,10408,11161,11619
24610000000,12262,12836,13169,13620,13995,14191,14436,14600,14654,14685,14636,14547,14366,14108,13882,13499
24612000000,13045,12693,12128,11499,11036,10311,9535,8982,8129,7237,6617,5671,4701,4038,3038,2028
24614000000,1350,336,-673,-1340,-2329,-3299,-3929,-4855,-5749,-6318,-7146,-7930,-8417,-9118,-9764,-10151
24615000000,-10700,-11185,-11460,-11837,-12148,-12302,-12497,-12623,-12653,-12663,-12605,-12511,-12340,-12102,-11893,-11550
24617000000,-11147,-10832,-10336,-9787,-9190,-8754,-8084,-7376,-6875,-6113,-5323,-4778,-3956,-3118,-2551,-1701
24619000000,-849,-282,560,1392,1937,2741,3522,4024,4758,5461,5900,6539,7137,7498,8020,8492
24620000000,8765,9151,9484,9660,9900,10084,10158,10247,10280,10253,10192,10076,9952,9747,9492,9279
24622000000,8943,8562,8271,7821,7334,6977,6435,5863,5457,4846,4214,3778,3123,2458,2008,1337
24624000000,665,220,-440,-1092,-1516,-2141,-2748,-3135,-3702,-4243,-4578,-5067,-5523,-5795,-6190,-6546
24625000000,-6747,-7035,-7281,-7485,-7581,-7711,-7798,-7816,-7830,-7802,-7744,-7645,-7507,-7377,-7174,-6935
24627000000,-6742,-6446,-6120,-5873,-5500,-5102,-4813,-4380,-3929,-3611,-3137,-2652,-2318,-1823,-1325,-989
24629000000,-493,0,322,801,1268,1568,2011,2436,2702,3093,3461,3685,4011,4310,4484,4736
24630000000,4958,5076,5247,5387,5449,5536,5591,5596,5599,5572,5523,5446,5340,5240,5090,4914
24632000000,4771,4555,4319,4139,3871,3586,3379,3071,2750,2525,2190,1848,1614,1267,919,571
24634000000,340,0,-336,-554,-876,-1187,-1385,-1675,-1951,-2121,-2370,-2602,-2739,-2939,-3120,-3220
24635000000,-3367,-3493,-3554,-3644,-3713,-3735,-3768,-3779,-3763,-3740,-3696,-3646,-3570,-3477,-3394,-3273
24637000000,-3135,-3026,-2865,-2692,-2562,-2370,-2169,-2024,-1811,-1592,-1438,-1213,-985,-830,-601,-374
24639000000,-223,0,216,358,566,766,893,1079,1255,1363,1521,1668,1754,1880,1993,2054
24640000000,2145,2222,2259,2313,2353,2364,2382,2386,2373,2355,2325,2290,2239,2178,2106,2044
24642000000,1956,1858,1783,1673,1555,1469,1342,1211,1117,981,841,745,604,462,367,227
24644000000,89,0,-133,-263,-345,-467,-583,-655,-761,-861,-919,-1007,-1087,-1131,-1198,-1257
24645000000,-1286,-1331,-1367,-1381,-1403,-1417,-1417,-1417,-1410,-1395,-1375,-1348,-1322,-1284,-1240,-1202
24647000000,-1149,-1090,-1044,-978,-909,-857,-782,-705,-650,-570,-488,-432,-350,-268,-213,-132
24649000000,-53,0,75,149,196,265,330,371,431,487,520,568,613,652,674,706
24650000000,733,746,765,780,783,790,793,788,783,774,762,746,726,708,683,654
24652000000,631,598,562,535,496,456,426,383,339,308,264,219,188,143,99,69
24654000000,27,-14,-41,-81,-119,-143,-178,-211,-231,-261,-288,-303,-327,-347,-358,-375
24655000000,-389,-395,-405,-411,-413,-416,-417,-414,-410,-405,-398,-390,-379,-369,-355,-340
24657000000,-328,-310,-292,-277,-256,-236,-220,-198,-175,-152,-136,-113,-90,-74,-52,-29
24659000000,-15,6,26,39,58,77,88,104,120,129,142,155,161,171,180,184
24660000000,191,196,198,202,204,203,203,203,200,197,193,189,183,177,171,164
24662000000,155,149,140,130,122,112,101,94,82,71,63,52,41,34,23,12
24664000000,5,-4,-14,-20,-29,-38,-43,-50,-58,-62,-68,-74,-77,-81,-86,-87
24665000000,-90,-93,-94,-95,-96,-96,-95,-95,-93,-92,-90,-88,-85,-82,-79,-76
24667000000,-72,-68,-65,-60,-56,-52,-47,-42,-38,-33,-28,-25,-20,-15,-11,-7
24669000000,-2,0,4,9,11,15,18,21,24,27,28,31,33,34,36,37
24670000000,38,39,40,40,40,40,40,39,39,38,37,36,35,34,32,31
24672000000,29,27,26,24,22,21,18,16,15,12,10,9,7,5,3,1
24674000000,0,-1,-3,-5,-6,-7,-9,-10,-11,-12,-13,-14,-15,-15,-16,-16
24675000000,-17,-17,-17,-17,-17,-18,-17,-17,-17,-16,-16,-16,-15,-15,-14,-14
24677000000,-13,-12,-11,-11,-10,-9,-8,-7,-7,-6,-5,-4,-4,-3,-2,-2
24679000000,-1,0,0,0,1,1,2,2,3,3,4,4,4,4,4,5
24680000000,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3
24682000000,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0
24684000000,0,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3
24685000000,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2
24687000000,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24689000000,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24690000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24692000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24694000000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24695000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
24697000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24699000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24802000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24804000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24806000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24807000000,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0
24809000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24811000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24812000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
24814000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2
24816000000,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
24817000000,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-1,-1,-1,-1,-1,0
24819000000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2
24821000000,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
24822000000,3,3,2,3,2,2,2,1,1,1,0,0,0,0,0,-1
24824000000,-1,-2,-2,-3,-4,-4,-5,-5,-6,-6,-7,-8,-8,-9,-9,-9
24826000000,-10,-10,-11,-11,-12,-12,-12,-12,-12,-13,-13,-13,-13,-13,-12,-12
24827000000,-12,-11,-11,-11,-10,-9,-9,-8,-7,-6,-5,-4,-3,-2,0,0
24829000000,1,2,4,5,7,8,9,11,12,14,15,17,18,19,21,22
24831000000,23,24,25,26,27,27,28,28,29,29,29,29,29,28,28,28
24832000000,26,26,25,23,22,20,18,17,14,12,10,7,4,2,0,-4
24834000000,-6,-10,-14,-16,-20,-24,-26,-30,-34,-37,-40,-44,-47,-50,-53,-55
24836000000,-59,-61,-63,-65,-67,-69,-70,-71,-72,-73,-72,-73,-72,-71,-69,-68
24837000000,-66,-63,-61,-57,-53,-50,-46,-40,-37,-31,-24,-20,-13,-6,0,6
24839000000,14,20,28,37,43,51,60,66,74,82,89,97,104,109,117,123
24841000000,128,134,139,143,147,150,153,155,156,157,157,156,156,153,149,146
24842000000,141,134,130,122,113,107,96,85,77,64,50,40,25,9,0,-17
24844000000,-34,-46,-64,-82,-95,-113,-131,-144,-161,-178,-191,-207,-223,-238,-249,-263
24846000000,-275,-284,-294,-303,-310,-317,-322,-326,-328,-328,-329,-326,-321,-318,-310,-300
24847000000,-293,-280,-264,-254,-235,-214,-200,-176,-150,-133,-105,-75,-54,-22,10,32
24849000000,67,102,126,162,198,223,259,294,319,353,386,409,440,469,490,516
24851000000,540,557,577,594,606,618,627,634,637,637,637,631,621,614,598,577
24852000000,564,537,506,486,449,408,381,334,285,232,197,140,81,40,-22,-86
24854000000,-130,-196,-263,-309,-376,-443,-489,-554,-618,-662,-723,-781,-822,-875,-925,-960
24856000000,-1002,-1041,-1068,-1098,-1123,-1140,-1155,-1164,-1171,-1168,-1160,-1155,-1135,-1108,-1090,-1051
24857000000,-1006,-976,-919,-855,-812,-738,-658,-604,-514,-420,-355,-253,-147,-75,36,150
24859000000,228,345,463,543,661,778,859,972,1084,1160,1265,1365,1434,1526,1610,1668
