time_ps,I,Q
136876000000,-326,163
136886000000,-370,188
136916000000,-413,209
136926000000,-446,221
136956000000,-466,225
136966000000,-471,227
136996000000,-468,229
137006000000,-466,235
137036000000,-470,240
137046000000,-476,239
137076000000,-480,235
137086000000,-479,231
137116000000,0,0
137126000000,0,0
137156000000,0,0
137166000000,0,0
137196000000,0,0
137206000000,0,0
137236000000,0,0
137246000000,0,0
137276000000,0,0
137286000000,0,0
137316000000,0,0
137326000000,0,0
137356000000,0,0
137366000000,0,0
137396000000,0,0
137406000000,0,0
137436000000,0,0
137446000000,0,0
137476000000,0,0
137486000000,0,0
137516000000,0,0
137526000000,0,0
137556000000,0,0
137566000000,0,0
137596000000,0,0
137606000000,0,0
137636000000,0,0
137646000000,0,0
137676000000,0,0
137686000000,0,0
137716000000,0,0
137726000000,0,0
137756000000,0,0
137766000000,0,0
137796000000,0,0
137806000000,0,0
137836000000,0,0
137846000000,0,0
137876000000,0,0
137886000000,0,0
137916000000,0,0
137926000000,0,0
137956000000,0,0
137966000000,0,0
137996000000,0,0
138006000000,0,0
138036000000,0,0
138046000000,0,0
138076000000,0,0
138086000000,0,0
138116000000,0,0
138126000000,0,0
138156000000,0,0
138166000000,0,0
138196000000,0,0
138206000000,0,0
138236000000,0,0
138246000000,0,0
138276000000,0,0
138286000000,0,0
138316000000,0,0
138326000000,0,0
138356000000,0,0
138366000000,0,0
138396000000,0,0
138406000000,0,0
138436000000,0,0
138446000000,0,0
138476000000,0,0
138486000000,0,0
138516000000,0,0
138526000000,0,0
138556000000,0,0
138566000000,0,0
138596000000,0,0
138606000000,0,0
138636000000,0,0
138646000000,0,0
138676000000,0,0
138686000000,0,0
138716000000,0,0
138726000000,0,0
138756000000,0,0
138766000000,0,0
138796000000,0,0
138806000000,0,0
138836000000,0,0
138846000000,0,0
138876000000,0,0
138886000000,0,0
138916000000,0,0
138926000000,0,0
138956000000,0,0
138966000000,0,0
138996000000,0,0
139006000000,0,0
139036000000,0,0
139046000000,0,0
139076000000,0,0
139086000000,0,0
139116000000,0,0
139126000000,0,0
139156000000,0,0
139166000000,0,0
139196000000,0,0
139206000000,0,0
139236000000,0,0
139246000000,0,0
139276000000,0,0
139286000000,0,0
139316000000,0,0
139326000000,0,0
139356000000,0,0
139366000000,0,0
139396000000,0,0
139406000000,0,0
139436000000,0,0
139446000000,0,0
139476000000,0,0
139486000000,0,0
139516000000,0,0
139526000000,0,0
139556000000,0,0
139566000000,0,0
139596000000,0,0
139606000000,0,0
139636000000,0,0
139646000000,0,0
139676000000,0,0
139686000000,0,0
139716000000,0,0
139726000000,0,0
139756000000,0,0
139766000000,0,0
139796000000,0,0
139806000000,0,0
139836000000,0,0
139846000000,0,0
139876000000,0,0
139886000000,0,0
139916000000,0,0
139926000000,0,0
139956000000,0,0
139966000000,0,0
139996000000,0,0
140006000000,0,0
140036000000,0,0
140046000000,0,0
140076000000,0,0
140086000000,0,0
140116000000,0,0
140126000000,0,0
140156000000,0,0
140166000000,0,0
140196000000,0,0
140206000000,0,0
140236000000,0,0
140246000000,0,0
140276000000,0,0
140286000000,0,0
140316000000,0,0
140326000000,0,0
140356000000,0,0
140366000000,0,0
140396000000,0,0
140406000000,0,0
140436000000,0,0
140446000000,0,0
140476000000,0,0
140486000000,0,0
140516000000,0,0
140526000000,0,0
140556000000,0,0
140566000000,0,0
140596000000,0,0
140606000000,0,0
140636000000,0,0
140646000000,0,0
140676000000,0,0
140686000000,0,0
140716000000,0,0
140726000000,0,0
140756000000,0,0
140766000000,0,0
140796000000,0,0
140806000000,0,0
140836000000,0,0
140846000000,0,0
140876000000,0,0
140886000000,0,0
140916000000,0,0
140926000000,0,0
140956000000,0,0
140966000000,0,0
140996000000,0,0
141006000000,0,0
141036000000,0,0
141046000000,0,0
141076000000,0,0
141086000000,0,0
141116000000,0,0
141126000000,0,0
141156000000,0,0
141166000000,0,0
141196000000,0,0
141206000000,0,0
141236000000,0,0
141246000000,0,0
141276000000,0,0
141286000000,0,0
141316000000,0,0
141326000000,0,0
141356000000,0,0
141366000000,0,0
141396000000,0,0
141406000000,0,0
141436000000,0,0
141446000000,0,0
141476000000,0,0
141486000000,0,0
141516000000,0,0
141526000000,0,0
141556000000,0,0
141566000000,0,0
141596000000,0,0
141606000000,0,0
141636000000,0,0
141646000000,0,0
141676000000,0,0
141686000000,0,0
141716000000,0,0
141726000000,0,0
141756000000,0,0
141766000000,0,0
141796000000,0,0
141806000000,0,0
141836000000,0,0
141846000000,0,0
141876000000,0,0
141886000000,0,0
141916000000,0,0
141926000000,0,0
141956000000,0,0
141966000000,0,0
141996000000,0,0
142006000000,0,0
142036000000,0,0
142046000000,0,0
142076000000,0,0
142086000000,0,0
142116000000,0,0
142126000000,0,0
142156000000,0,0
142166000000,0,0
142196000000,0,0
142206000000,0,0
142236000000,0,0
142246000000,0,0
142276000000,0,0
142286000000,0,0
142316000000,0,0
142326000000,0,0
142356000000,0,0
142366000000,0,0
142396000000,0,0
142406000000,0,0
142436000000,0,0
142446000000,0,0
142476000000,0,0
142486000000,0,0
142516000000,0,0
142526000000,0,0
142556000000,0,0
142566000000,0,0
142596000000,0,0
142606000000,0,0
142636000000,0,0
142646000000,0,0
142676000000,0,0
142686000000,0,0
142716000000,0,0
142726000000,0,0
142756000000,0,0
142766000000,0,0
142796000000,0,0
142806000000,0,0
142836000000,0,0
142846000000,0,0
142876000000,0,0
142886000000,0,0
142916000000,0,0
142926000000,0,0
142956000000,0,0
142966000000,0,0
142996000000,0,0
143006000000,0,0
143036000000,0,0
143046000000,0,0
143076000000,0,0
143086000000,0,0
143116000000,0,0
143126000000,0,0
143156000000,0,0
143166000000,0,0
143196000000,0,0
143206000000,0,0
143236000000,0,0
143246000000,0,0
143276000000,0,0
143286000000,0,0
143316000000,0,0
143326000000,0,0
143356000000,0,0
143366000000,0,0
143396000000,0,0
143406000000,0,0
143436000000,0,0
143446000000,0,0
143476000000,0,0
143486000000,0,0
143516000000,0,0
143526000000,0,0
143556000000,0,0
143566000000,0,0
143596000000,0,0
143606000000,0,0
143636000000,0,0
143646000000,0,0
143676000000,0,0
143686000000,0,0
143716000000,0,0
143726000000,0,0
143756000000,0,0
143766000000,0,0
143796000000,0,0
143806000000,0,0
143836000000,0,0
143846000000,0,0
