valid, idx, real, imag
1,           1,   -221,    163
1,           2,   -256,    109
1,           3,   -275,     46
1,           0,   -283,    -19
1,           1,   -271,    -85
1,           2,   -248,   -148
1,           3,   -207,   -202
1,           0,   -157,   -248
1,           1,    -95,   -278
1,           2,    -28,   -297
1,           3,     42,   -295
1,           0,    111,   -281
1,           1,    174,   -248
1,           2,    230,   -203
1,           3,    271,   -144
1,           0,    302,    -78
1,           1,    312,     -5
1,           2,    308,     69
1,           3,    283,    140
1,           0,    247,    206
1,           1,    192,    258
1,           2,    128,    301
1,           3,     55,    323
1,           0,    -23,    332
1,           1,   -101,    318
1,           2,   -174,    290
1,           3,   -237,    242
1,           0,   -293,    183
1,           1,   -327,    110
1,           2,   -350,     31
1,           3,   -348,    -52
1,           0,   -331,   -133
1,           1,   -291,   -207
1,           2,   -239,   -273
1,           3,   -169,   -321
1,           0,    -91,   -357
1,           1,     -5,   -368
1,           2,     82,   -364
1,           3,    165,   -336
1,           0,    243,   -293
1,           1,    304,   -227
1,           2,    353,   -153
1,           3,    379,    -66
1,           0,    390,     25
1,           1,    373,    116
1,           2,    341,    203
1,           3,    284,    277
1,           0,    214,    341
1,           1,    128,    382
1,           2,     36,    408
1,           3,    -60,    406
1,           0,   -156,    386
1,           1,   -242,    340
1,           2,   -321,    278
1,           3,   -376,    196
1,           0,   -419,    104
1,           1,   -432,      4
1,           2,   -428,    -99
1,           3,   -393,   -195
1,           0,   -342,   -286
1,           1,   -266,   -358
1,           2,   -178,   -416
1,           3,    -76,   -446
1,           0,     30,   -458
1,           1,    136,   -440
1,           2,    239,   -401
1,           3,    324,   -334
1,           0,    400,   -252
1,           1,    448,   -152
1,           2,    478,    -43
1,           3,    474,     69
1,           0,    452,    181
1,           1,    398,    282
1,           2,    325,    373
1,           3,    228,    439
1,           0,    122,    487
1,           1,      4,    502
1,           2,   -115,    497
1,           3,   -228,    457
1,           0,   -334,    397
1,           1,   -417,    309
1,           2,   -485,    206
1,           3,   -520,     87
1,           0,   -535,    -37
1,           1,   -511,   -161
1,           2,   -466,   -280
1,           3,   -389,   -381
1,           0,   -294,   -468
1,           1,   -176,   -524
1,           2,    -50,   -559
1,           3,     81,   -554
1,           0,    212,   -528
1,           1,    328,   -464
1,           2,    435,   -380
1,           3,    511,   -268
1,           0,    567,   -144
1,           1,    586,     -7
1,           2,    580,    132
1,           3,    531,    263
1,           0,    462,    387
1,           1,    359,    485
1,           2,    239,    563
1,           3,    101,    603
1,           0,    -43,    620
1,           1,   -187,    594
1,           2,   -325,    541
1,           3,   -443,    450
1,           0,   -544,    339
1,           1,   -609,    203
1,           2,   -648,     57
1,           3,   -644,    -97
1,           0,   -613,   -248
1,           1,   -539,   -385
1,           2,   -441,   -507
1,           3,   -310,   -595
1,           0,   -166,   -660
1,           1,     -7,   -681
1,           2,    155,   -673
1,           3,    306,   -618
1,           0,    449,   -537
1,           1,    562,   -417
1,           2,    653,   -278
1,           3,    700,   -118
1,           0,    718,     49
1,           1,    686,    216
1,           2,    626,    375
1,           3,    520,    511
1,           0,    392,    629
1,           1,    234,    703
1,           2,     65,    749
1,           3,   -113,    743
1,           0,   -287,    708
1,           1,   -445,    621
1,           2,   -586,    507
1,           3,   -687,    356
1,           0,   -764,    189
1,           1,   -787,      6
1,           2,   -778,   -181
1,           3,   -714,   -357
1,           0,   -620,   -521
1,           1,   -482,   -651
1,           2,   -321,   -756
1,           3,   -136,   -809
1,           0,     58,   -832
1,           1,    250,   -795
1,           2,    435,   -724
1,           3,    590,   -601
1,           0,    726,   -454
1,           1,    811,   -272
1,           2,    865,    -76
1,           3,    858,    128
1,           0,    816,    330
1,           1,    716,    512
1,           2,    584,    674
1,           3,    410,    792
1,           0,    218,    878
1,           1,      6,    905
1,           2,   -209,    894
1,           3,   -411,    821
1,           0,   -600,    712
1,           1,   -750,    553
1,           2,   -871,    367
1,           3,   -932,    154
1,           0,   -957,    -69
1,           1,   -914,   -291
1,           2,   -832,   -502
1,           3,   -692,   -682
1,           0,   -521,   -836
1,           1,   -311,   -935
1,           2,    -86,   -995
1,           3,    149,   -987
1,           0,    380,   -938
1,           1,    588,   -824
1,           2,    775,   -673
1,           3,    910,   -472
1,           0,   1009,   -250
1,           1,   1039,     -8
1,           2,   1027,    239
1,           3,    941,    471
1,           0,    817,    688
1,           1,    633,    860
1,           2,    420,    997
1,           3,    176,   1067
1,           0,    -80,   1095
1,           1,   -334,   1046
1,           2,   -576,    952
1,           3,   -782,    790
1,           0,   -959,    595
1,           1,  -1071,    355
1,           2,  -1140,     96
1,           3,  -1130,   -172
1,           0,  -1073,   -438
1,           1,   -942,   -676
1,           2,   -769,   -889
1,           3,   -540,  -1042
1,           0,   -286,  -1156
1,           1,     -9,  -1190
1,           2,    273,  -1175
1,           3,    539,  -1077
1,           0,    787,   -935
1,           1,    983,   -725
1,           2,   1140,   -481
1,           3,   1219,   -202
1,           0,   1251,     90
1,           1,   1195,    380
1,           2,   1087,    657
1,           3,    902,    891
1,           0,    678,   1094
1,           1,    404,   1222
1,           2,    108,   1300
1,           3,   -198,   1288
1,           0,   -501,   1223
1,           1,   -772,   1072
1,           2,  -1015,    874
1,           3,  -1190,    612
1,           0,  -1318,    323
1,           1,  -1357,      6
1,           2,  -1339,   -315
1,           3,  -1227,   -618
1,           0,  -1065,   -900
1,           1,   -825,  -1122
1,           2,   -548,  -1302
1,           3,   -229,  -1391
1,           0,    104,  -1426
1,           1,    435,  -1361
1,           2,    749,  -1238
1,           3,   1017,  -1027
1,           0,   1245,   -773
1,           1,   1390,   -460
1,           2,   1479,   -125
1,           3,   1464,    224
1,           0,   1391,    568
1,           1,   1219,    876
1,           2,    994,   1152
1,           3,    696,   1350
1,           0,    365,   1497
1,           1,      6,   1540
1,           2,   -359,   1520
1,           3,   -703,   1391
1,           0,  -1022,   1206
1,           1,  -1275,    934
1,           2,  -1477,    619
1,           3,  -1578,    256
1,           0,  -1617,   -121
1,           1,  -1543,   -495
1,           2,  -1404,   -852
1,           3,  -1164,  -1155
1,           0,   -875,  -1414
1,           1,   -519,  -1578
1,           2,   -139,  -1678
1,           3,    256,  -1661
1,           0,    645,  -1577
1,           1,    994,  -1382
1,           2,   1307,  -1126
1,           3,   1531,   -789
1,           0,   1695,   -415
1,           1,   1744,     -8
1,           2,   1720,    405
1,           3,   1574,    794
1,           0,   1364,   1156
1,           1,   1056,   1442
1,           2,    698,   1670
1,           3,    289,   1783
1,           0,   -138,   1828
1,           1,   -561,   1743
1,           2,   -965,   1585
1,           3,  -1306,   1313
1,           0,  -1599,    985
1,           1,  -1784,    584
1,           2,  -1895,    154
1,           3,  -1876,   -293
1,           0,  -1780,   -731
1,           1,  -1560,  -1126
1,           2,  -1270,  -1478
1,           3,   -889,  -1729
1,           0,   -466,  -1915
1,           1,     -6,  -1970
1,           2,    459,  -1941
1,           3,    898,  -1776
1,           0,   1305,  -1539
1,           1,   1627,  -1190
1,           2,   1883,   -787
1,           3,   2011,   -325
1,           0,   2059,    157
1,           1,   1964,    632
1,           2,   1784,   1087
1,           3,   1478,   1471
1,           0,   1109,   1800
1,           1,    658,   2008
1,           2,    173,   2132
1,           3,   -329,   2109
1,           0,   -825,   2001
1,           1,  -1269,   1751
1,           2,  -1664,   1425
1,           3,  -1946,    995
1,           0,  -2154,    520
1,           1,  -2214,      3
1,           2,  -2181,   -520
1,           3,  -1996,  -1013
1,           0,  -1728,  -1469
1,           1,  -1336,  -1831
1,           2,   -883,  -2118
1,           3,   -363,  -2261
1,           0,    177,  -2313
1,           1,    710,  -2207
1,           2,   1221,  -2003
1,           3,   1651,  -1660
1,           0,   2021,  -1244
1,           1,   2253,   -737
1,           2,   2392,   -193
1,           3,   2365,    370
1,           0,   2244,    924
1,           1,   1963,   1421
1,           2,   1597,   1863
1,           3,   1115,   2180
1,           0,    582,   2412
1,           1,      2,   2479
1,           2,   -585,   2442
1,           3,  -1135,   2233
1,           0,  -1647,   1932
1,           1,  -2051,   1492
1,           2,  -2371,    985
1,           3,  -2530,    403
1,           0,  -2589,   -201
1,           1,  -2468,   -799
1,           2,  -2241,  -1370
1,           3,  -1855,  -1852
1,           0,  -1389,  -2262
1,           1,   -822,  -2521
1,           2,   -213,  -2675
1,           3,    416,  -2646
1,           0,   1036,  -2507
1,           1,   1590,  -2194
1,           2,   2084,  -1783
1,           3,   2437,  -1245
1,           0,   2694,   -649
1,           1,   2768,     -3
1,           2,   2725,    653
1,           3,   2491,   1267
1,           0,   2155,   1838
1,           1,   1663,   2288
1,           2,   1097,   2645
1,           3,    447,   2821
1,           0,   -227,   2886
1,           1,   -893,   2750
1,           2,  -1529,   2495
1,           3,  -2064,   2065
1,           0,  -2522,   1545
1,           1,  -2810,    912
1,           2,  -2981,    234
1,           3,  -2947,   -467
1,           0,  -2793,  -1157
1,           1,  -2442,  -1774
1,           2,  -1984,  -2322
1,           3,  -1384,  -2714
1,           0,   -722,  -3001
1,           1,      0,  -3081
1,           2,    727,  -3032
1,           3,   1412,  -2772
1,           0,   2046,  -2397
1,           1,   2545,  -1850
1,           2,   2942,  -1219
1,           3,   3136,   -497
1,           0,   3207,    253
1,           1,   3054,    994
1,           2,   2770,   1699
1,           3,   2291,   2294
1,           0,   1714,   2801
1,           1,   1012,   3118
1,           2,    258,   3308
1,           3,   -520,   3269
1,           0,  -1287,   3096
1,           1,  -1972,   2705
1,           2,  -2579,   2196
1,           3,  -3012,   1529
1,           0,  -3330,    794
1,           1,  -3417,     -4
1,           2,  -3361,   -812
1,           3,  -3071,  -1570
1,           0,  -2654,  -2272
1,           1,  -2047,  -2824
1,           2,  -1347,  -3262
1,           3,   -547,  -3477
1,           0,    283,  -3553
1,           1,   1103,  -3382
1,           2,   1884,  -3067
1,           3,   2541,  -2536
1,           0,   3102,  -1895
1,           1,   3452,  -1116
